Age,Income,Previous_Purchases,Purchase,North,South,West
56,25287,7,1,False,False,True
46,54387,15,1,False,False,True
32,28512,9,0,False,False,True
60,21342,3,0,True,False,False
25,83076,17,1,True,False,False
38,39216,1,1,False,False,True
56,99767,16,1,False,True,False
36,46614,12,1,False,False,False
40,56258,3,1,False,False,False
28,62078,10,1,True,False,False
28,32219,6,1,False,False,False
41,20235,11,1,False,True,False
53,62929,9,1,False,False,False
57,87444,6,1,True,False,False
41,28567,12,0,True,False,False
20,90792,6,1,False,True,False
39,85441,16,1,False,True,False
19,93698,9,1,False,False,False
41,25415,9,1,False,False,False
61,56159,3,1,True,False,False
47,63925,19,1,False,True,False
55,25951,3,0,False,True,False
19,28007,6,1,False,True,False
38,61832,0,0,False,False,False
50,78596,11,1,False,True,False
29,50523,12,1,True,False,False
39,35524,9,1,True,False,False
61,39282,14,1,False,False,False
42,43930,12,1,False,False,True
44,20077,8,1,False,False,False
59,40611,8,1,False,False,True
45,36984,14,1,False,True,False
33,34060,9,0,False,False,False
32,63303,9,1,True,False,False
64,79207,7,1,False,True,False
61,95046,15,1,True,False,False
20,49287,16,1,False,True,False
54,59711,4,1,False,False,False
24,31954,3,1,False,False,True
38,93340,17,1,False,True,False
26,92101,18,1,False,False,True
56,91520,3,1,False,True,False
35,38574,6,0,True,False,False
21,29184,9,1,True,False,False
42,39096,17,1,False,True,False
31,87728,18,1,False,False,True
26,54016,3,0,False,False,False
43,31246,9,1,False,False,False
19,65558,0,1,True,False,False
37,38381,17,1,False,False,False
45,56455,4,1,True,False,False
64,24018,14,1,False,False,False
24,31302,16,1,False,True,False
61,87506,2,1,True,False,False
25,61157,11,1,True,False,False
64,74917,1,1,False,True,False
52,44519,0,0,True,False,False
31,76819,16,1,False,False,False
34,91324,15,1,False,False,False
53,25408,4,1,True,False,False
57,79379,14,1,False,False,False
21,45053,2,1,False,False,True
19,29446,6,0,True,False,False
23,20922,10,1,False,True,False
59,71356,9,1,False,False,True
21,30789,8,1,True,False,False
46,86656,13,1,False,True,False
35,64028,12,0,False,False,False
43,84484,1,1,False,True,False
61,52154,2,1,False,False,True
51,22336,6,1,False,False,False
27,87779,17,1,True,False,False
53,39029,2,1,False,False,False
31,79201,9,1,True,False,False
48,52265,6,0,True,False,False
32,63872,8,1,False,True,False
25,66197,16,1,False,True,False
31,75180,10,1,False,True,False
40,43710,6,0,False,False,True
57,49486,13,1,False,False,True
38,91907,18,1,False,True,False
33,91895,3,1,False,False,True
62,84435,5,1,False,False,False
35,60631,9,1,False,False,False
64,40103,6,1,False,False,True
41,84772,12,1,False,False,True
43,34382,13,0,False,False,False
42,23756,3,0,True,False,False
62,40609,7,0,False,False,False
58,36478,4,1,False,False,False
46,59666,0,1,False,False,True
32,95683,3,1,False,False,False
62,91315,2,1,False,False,True
18,97834,8,1,False,False,True
42,34153,7,1,False,True,False
24,96325,0,1,False,False,False
26,32999,5,1,True,False,False
41,75318,8,1,False,True,False
18,20814,6,0,False,False,True
61,96077,3,1,False,False,True
25,22443,12,1,True,False,False
41,95993,16,1,False,False,True
28,95916,1,1,False,False,False
34,93319,4,1,False,True,False
25,37368,11,1,False,False,True
52,35328,7,1,False,False,True
52,76942,5,1,True,False,False
50,47306,7,1,False,False,False
22,59915,17,1,False,False,True
59,57219,2,1,True,False,False
56,84644,11,1,False,False,True
58,80279,2,1,True,False,False
45,73028,5,1,True,False,False
24,20126,1,1,False,False,False
26,72329,11,1,False,False,True
25,47632,1,0,False,False,False
29,85310,5,1,True,False,False
51,75176,16,1,False,True,False
50,64327,2,1,False,False,True
40,88904,1,1,False,True,False
41,23797,19,1,False,False,True
54,67882,7,1,False,False,False
52,33718,11,1,False,False,False
61,54560,3,1,False,False,False
57,96589,4,1,False,False,False
39,42116,12,1,False,False,False
44,56244,14,1,False,True,False
52,21645,15,1,False,False,False
18,67523,9,1,True,False,False
52,39256,15,0,True,False,False
54,73173,11,1,False,True,False
64,57430,16,1,False,False,True
31,59282,15,1,True,False,False
20,83374,11,1,False,False,True
18,88244,7,1,False,True,False
22,31694,19,1,False,False,True
43,76264,2,1,False,False,True
31,95060,15,1,False,False,True
56,77545,12,1,False,False,True
44,59224,18,1,False,True,False
26,33224,7,0,True,False,False
32,60738,4,1,False,False,False
32,45150,19,1,False,False,True
43,83731,7,1,True,False,False
59,69688,11,1,True,False,False
30,93509,0,1,False,True,False
49,28577,19,0,True,False,False
56,28070,5,1,False,True,False
49,28666,17,1,False,False,True
21,77761,7,1,False,False,True
47,56368,6,1,False,False,False
54,26783,0,1,False,False,False
40,61914,15,1,False,False,False
56,90507,11,1,True,False,False
62,99026,5,1,False,False,True
32,87526,19,1,False,True,False
60,90835,1,1,False,False,False
46,65765,13,1,False,True,False
53,39956,3,1,False,True,False
30,66240,0,1,False,False,False
49,57148,17,1,False,False,True
24,24757,12,1,False,False,False
39,39097,1,0,False,True,False
45,30395,8,1,False,False,False
19,36241,1,0,False,True,False
59,47696,8,1,False,True,False
62,90480,0,1,False,False,False
23,66163,10,1,True,False,False
45,39816,2,1,False,False,False
45,69840,19,1,True,False,False
61,72853,3,1,False,True,False
61,44917,17,1,False,True,False
37,41566,5,1,True,False,False
47,95452,2,1,False,True,False
28,82823,10,1,True,False,False
45,40806,14,1,True,False,False
42,95520,4,1,False,True,False
56,21759,19,1,False,False,True
50,61949,9,1,True,False,False
18,22482,11,1,False,False,False
44,44442,14,1,False,False,False
30,53719,16,1,False,True,False
58,78066,9,1,False,False,True
20,22079,5,0,False,True,False
56,22717,17,1,False,False,True
23,79676,12,1,True,False,False
25,47952,2,1,True,False,False
44,62460,9,1,True,False,False
26,92847,13,1,True,False,False
54,38449,5,1,False,False,False
50,53536,2,1,False,False,False
59,84077,15,1,False,True,False
61,58258,6,1,False,False,True
41,68302,19,1,True,False,False
32,48865,13,1,True,False,False
49,26645,8,1,False,False,True
49,58000,14,1,False,False,True
41,46737,2,1,False,True,False
58,31485,1,0,False,False,True
29,58565,1,1,True,False,False
56,45522,2,1,True,False,False
19,85155,17,1,True,False,False
20,75168,13,0,True,False,False
54,72487,19,1,True,False,False
34,32342,17,1,False,True,False
19,60806,9,1,True,False,False
19,68770,1,1,False,True,False
45,98623,0,1,True,False,False
40,95629,3,1,False,False,False
54,72603,13,1,False,False,False
49,46399,0,1,False,False,False
50,96534,13,1,False,False,False
18,75106,15,1,False,True,False
36,50678,13,1,False,True,False
19,96218,19,1,False,False,True
61,83230,2,1,True,False,False
43,94055,2,1,False,False,False
49,76373,8,1,False,True,False
23,51480,5,1,True,False,False
49,88836,12,1,True,False,False
21,92258,1,1,False,True,False
28,59986,7,1,False,False,False
34,44160,1,1,False,False,True
55,99111,3,1,True,False,False
41,84929,14,1,False,False,True
22,93506,3,1,False,False,False
51,54911,12,1,False,False,False
23,51821,11,1,False,False,True
39,95039,12,1,False,False,False
28,80535,13,1,True,False,False
33,32175,19,1,False,False,True
50,74771,17,1,False,False,False
26,86358,5,1,False,False,True
23,37327,10,1,True,False,False
33,67057,1,1,False,False,False
46,26150,18,1,True,False,False
20,24425,18,0,False,False,False
37,36032,4,0,False,True,False
53,22198,18,1,False,False,False
36,80500,1,1,False,False,True
43,73394,9,1,False,False,False
20,40079,1,0,True,False,False
36,56220,10,1,True,False,False
37,61874,17,1,False,False,False
49,33859,14,1,False,False,True
24,70460,8,1,False,True,False
58,51419,18,1,False,False,True
50,28705,8,1,False,True,False
57,62880,2,1,True,False,False
56,43236,8,1,False,False,True
35,35358,13,1,False,True,False
57,96918,18,1,False,False,False
18,34596,6,0,True,False,False
28,53572,15,1,False,False,False
45,98757,15,1,True,False,False
42,21279,0,0,False,False,True
40,83197,3,1,False,False,True
48,82516,3,0,True,False,False
47,27083,6,1,True,False,False
59,37771,7,1,True,False,False
52,49975,16,1,False,False,True
24,65648,4,1,False,True,False
33,68285,6,1,False,False,False
43,39063,19,1,False,False,False
19,87642,19,1,False,False,True
18,57599,3,1,False,False,False
29,71920,5,1,True,False,False
22,48529,6,1,False,True,False
54,55954,17,1,False,False,False
49,47856,4,1,False,True,False
26,22573,19,1,True,False,False
58,98344,2,1,False,False,False
52,55367,6,1,False,False,True
36,80774,13,1,False,True,False
33,43752,6,1,True,False,False
20,75029,4,1,False,True,False
37,37685,4,0,False,False,False
41,71693,1,1,False,False,False
50,75961,5,1,False,False,True
41,96908,14,1,True,False,False
28,94532,9,1,True,False,False
25,76133,6,1,False,False,True
53,81268,4,1,False,False,True
55,58243,0,1,True,False,False
57,77384,12,1,False,True,False
37,51653,17,1,False,True,False
52,46657,12,1,False,False,True
42,59952,17,1,False,True,False
52,42180,4,1,True,False,False
42,98411,12,1,False,False,False
46,21622,3,0,False,False,False
35,68756,16,1,False,True,False
63,60809,2,1,False,False,True
35,36725,16,0,False,False,True
19,81396,10,1,False,False,True
52,71226,19,1,False,False,True
33,49402,3,1,False,False,True
58,24263,1,0,False,True,False
53,66828,19,1,False,False,False
50,67924,15,1,False,False,False
21,94182,17,1,False,True,False
50,79052,7,1,False,False,True
31,31664,2,0,False,True,False
38,55737,8,1,False,False,False
37,49373,19,1,True,False,False
25,56397,5,1,False,True,False
24,58709,9,1,False,False,True
20,81120,9,1,False,False,False
34,39250,12,1,False,False,False
50,41172,16,1,False,False,False
29,31555,8,1,False,False,False
39,98617,16,1,False,False,True
39,73276,8,1,True,False,False
63,77492,8,1,False,False,False
47,73002,0,1,False,True,False
55,92355,1,1,True,False,False
55,44762,15,1,False,False,False
62,31046,0,0,True,False,False
25,48769,9,1,False,True,False
44,73302,17,1,False,False,False
44,43150,7,1,False,True,False
51,88247,10,1,False,False,True
38,24853,1,1,False,False,False
47,41792,7,1,False,False,False
50,79129,7,1,False,False,False
45,94478,16,1,False,False,False
64,87298,14,1,False,False,True
50,51987,16,1,False,False,False
22,35850,12,1,True,False,False
36,32112,18,1,False,False,False
21,44058,4,1,False,False,True
52,65420,11,1,False,False,False
34,58890,0,1,True,False,False
61,86017,4,1,False,False,True
45,67304,7,1,False,False,True
47,52921,12,1,True,False,False
46,21524,7,1,True,False,False
63,35048,10,1,True,False,False
23,55111,0,0,True,False,False
52,57904,12,1,True,False,False
58,74912,18,1,False,False,True
54,54008,2,1,False,False,True
41,20060,16,1,False,False,False
46,94666,4,1,False,False,False
63,75337,19,1,False,True,False
48,33350,7,1,False,False,False
52,44354,13,1,False,False,False
50,65186,3,1,True,False,False
38,48145,10,1,True,False,False
49,54020,19,1,False,False,False
40,95186,14,1,False,True,False
50,40581,18,1,True,False,False
20,43051,6,0,False,False,False
35,71474,18,1,False,False,False
42,89626,18,1,False,False,True
59,26960,10,1,False,True,False
48,55772,4,1,False,False,True
20,41520,4,0,False,True,False
57,69481,7,1,True,False,False
63,56408,9,1,False,True,False
41,77134,5,1,False,False,False
49,40491,14,1,False,False,False
64,21341,15,1,False,True,False
39,64623,16,1,False,True,False
40,20338,7,0,False,True,False
19,91431,7,1,False,False,True
44,32254,8,0,False,True,False
59,71860,1,1,True,False,False
19,31344,14,1,False,False,True
43,21750,17,1,False,False,True
34,74756,2,1,False,True,False
57,87957,16,1,True,False,False
50,78053,3,1,False,False,True
26,90855,3,1,False,False,False
60,35896,13,1,False,False,True
56,75761,8,1,False,True,False
46,82552,8,1,True,False,False
59,97454,17,1,False,True,False
43,47935,9,1,False,False,False
52,57641,3,1,False,False,False
42,49711,11,1,False,False,False
41,90342,7,1,False,True,False
30,32182,1,1,False,False,True
24,76276,12,1,False,True,False
